title,author,author_country,datePublished,content,verified,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Ground Service,Value For Money,Recommended,Food & Beverages,Inflight Entertainment,Wifi & Connectivity
"""friendly with no fake smiles""",Riaz Osmani,United Kingdom,3rd February 2017," London to Dhaka via Sylhet with Biman Bangladesh. Flight attendants were caring and friendly with no fake smiles. Economy cabin laid out in 3-3-3 seating configuration in economy which was a plus point due to wider seats. Beverage service consisted of one or two types of juice, coke or sprite with no real choices offered. Stingy in servings. They served you whatever they felt like. Main dish in the dinner service consisted of Bangladeshi curries with multiple choices (chicken, fish and vegetarian) which were unknown to most passengers. No menus provided. They served you the meat one assuming that is what you wanted. Tea and coffee served in very small portions. Portions of main dish needed to be increased and accompaniments like salad needed to be bigger and more imaginative. Plastic cutlery and paper cups were cheap. AVOD entertainment provided in seat back PTVs. Bengali entertainment was accompanied by Bollywood, Hollywood and American popular culture. Kids had games to play and moving map was provided both in Bangla and English. Breakfast before landing in Sylhet was very filling. Majority of passengers disembarked in Sylhet availing themselves of a convenient 9:30 minutes journey home from London. Small snacks provided on the 25 minute flight to Dhaka.",✅ Verified Review,Boeing 777-300ER,Solo Leisure,Economy Class,London to Dhaka via Sylhet,January 2017,5.0,4.0,3.0,4.0,yes,2.0,4.0,
"""depend on Biman to be late""",L Tusala,Canada,24th January 2017," Dhaka to Toronto via London. My 21 hour trip took me 45 hours only because Biman Bangladesh was 2 hours late and I along with 9 others missed the connecting Air Canada flight from London. Their response at the service desk was ""go home"" and ""the next flight is 17 hours away, you are responsible to book the flight, and since you cannot stay inside the airport, you have to find your own accommodation"". When me and the other passengers started to talk about rights as a passengers, then they supposedly booked the flight, and after further arguement they agreed to provide accommodation. The Biman agents at the check in was really rude. Their comment was ""Biman is always late, I don't understand why other airlines gives us as connecting flight."" Well that's because Biman never posts their delayed time online. If Biman is always late, I don't understand why not just adjust the schedule. There was an unannounced transit of an hour in Sylhet, where the cleaning crew stayed cleaning with vacuum while the passengers were on the plane. Put the blankets in a garbage bag and shoved the bag in the washroom floor with their feet. The inflight food and entertainment was terrible. But that's not a deal breaker for me since I prefer to sleep anyway.  In summary, you can always depend on Biman to be late, be treated as if they are doing you a favour, and the only thing I heard and agree with is ""never again with Biman"".",✅ Verified Review,Boeing 773,Solo Leisure,Economy Class,Dhaka to London,January 2017,1.0,1.0,1.0,1.0,no,1.0,1.0,
"""flight in Business Class was average""",C Nelson,Bangladesh,14th December 2016," My flight from Dhaka to Thailand in Business Class was average. I like travelling by Biman but maybe that is because I haven't experienced delays as much and I was lucky that way. However, I wouldn't pay to be on Biman's Business Class. This flight was bought for me so I did not care too much, but for those of you who are considering paying for Business Class, please consider the following points: 1) You will not enjoy the in-flight entertainment system that they have. I played 'Dolly Parton' the whole flight as I couldn't find a better option. 2) The interior of the cabin (starting from the lounge) will make you feel like you have traveled back in time to the 70s. Even the china used for the flight somehow feels very old and not in a classy vintage way. 3) The food was very average. The prawn salad tasted bland. Whoever the chef was did not do a good job with it. They could have done a better menu. The food served in economy class on my way back from Thailand tasted much much better. 4) The hot towels served during the flight lacked moisture. They just handed out warm dry towels which was pointless. Luckily, it was a short flight and being a clear day, I could look down and enjoy the sight below. Otherwise I would have been bored out of my wits. Good points: 1) It was spacious and the seats were not so bad. 2) The service provided by the staff was nice. 3) The dessert that they served was excellent.",✅ Verified Review,,Business,Business Class,DAC to BKK,December 2016,3.0,4.0,4.0,2.0,yes,1.0,1.0,1.0
"""happy to fly with Biman""",Chowdhury Md Ghalib,Bangladesh,20th September 2016," Dhaka to Rakshahi, the flight was on time. The cabin crew were helpful specially for my kid. Food was nice.  The ground staffs were also good at Rajshahi airport. The flight was before EID-UL-Azha. I am happy to fly with Biman, and the aircraft was also clean and fresh.",✅ Verified Review,Q400,Family Leisure,Economy Class,DAC to RJH,September 2016,3.0,4.0,4.0,4.0,yes,3.0,,
"""food was terrible""",F Ali,United Kingdom,14th March 2016,"heathrow to Sylhet with Biman Bangladesh and without doubt one of the worst airlines I've experienced. PTV broken and asked 10 times for it to be fixed without any luck. Staff look like they would rather be doing something else rather than working. Food was terrible, served soft drinks in paper cups so you aren't able to ask for anything but water during non meal times. The return flight from Dhaka to Heathrow was just as bad if not worse, staff woke us to be served our food instead of just placing it on our tables like a normal airline would do. Truly terrible service. Shame it's the only airline to offer direct flights.",,,Family Leisure,Economy Class,LHR to ZYL,March 2016,2.0,1.0,3.0,2.0,no,1.0,2.0,
"""crew always had a smile""",Em Parvez,Australia,27th February 2016,"Flew Biman Bangladesh Airlines from Dhaka to London. Slow but friendly service, good food. Comfortable newish aircraft. Great value for money. Approximately 20 minutes delayed departure, but arrived on time. Facilities were clean and crew always had a smile. Would definitely fly again.",,Boeing 777,Couple Leisure,Economy Class,DAC to LHR,October 2015,4.0,4.0,3.0,5.0,yes,5.0,4.0,
"""seats quite comfortable""",N Morshed,Singapore,19th January 2016,"Biman Bangladesh from Singapore to Chittagong via Dhaka. The flight to Dhaka was operated by Boeing 737. The aircraft was new, only a few weeks old, but I felt the seat pitch was short. IFE was reasonable. Meals could have been better. Check-in at Singapore was ok. Cabin crew was also ok. The baggage took a long long time to arrive at Dhaka. Dhaka to Chittagong operated by Boeing 777-300 was delayed by 3 hours. Quite frustrating wait at the domestic lounge, where the only snacks stall had run out of food. Had to go out of the terminal to get some food. However, the aircraft was quite good. Seats were quite comfortable.",,Boeing 737 / 777,Family Leisure,Economy Class,SIN to CGP via DAC,January 2016,4.0,3.0,3.0,4.0,yes,3.0,4.0,
"""courteous cabin crew""",F Mottakin,Bangladesh,31st December 2015,"Dhaka to London return on Biman Bangladesh. Check in was very efficient. Good lounge at Dhaka Airport. IFE, food and beverage service was very good. Polite and courteous cabin crew. Check-in at LHR was also quick and efficient. Gulf Air lounge at LHR was not bad at all.  Worth taking DAC-LHR direct flight in Business class. I plan to travel with Biman again.",,Boeing 777-300,Business,Business Class,DAC to LHR,November 2015,4.0,4.0,4.0,5.0,yes,5.0,3.0,
"""a nice experience""",Musa Alvi,Bangladesh,6th December 2015,A nice experience with Biman Bangladesh Airlines. The flight was on time and the plane was clean enough. No IFE system but enjoyed the travel as an inflight magazine was offered which was written in both Bengali and English. Staff were also nice. Food was good enough for a 40 minute flight. I also used Biman for my returning flight and that was also good apart from the flight being 15 minutes late.,,Das 8 Q400,Solo Leisure,Economy Class,Dhaka to Kolkata,November 2015,3.0,3.0,3.0,4.0,yes,3.0,,
"""Boeing 777-200 was so bad""",M Islam,United Kingdom,13th November 2015,"Very disappointed with the Biman Bangladesh Airlines Boeing 777-200 it was so bad. It was like you go back to the 70's. I have travelled with Biman previously with the newer Boeing 777-300 and that was so much better experience. This experience was bad - seats were cramped zero entertainment and for 10 hours it was very painful not worth money you pay. Return trip was even worse as previously they kept you in hotel for one night in Dhaka, than fly next morning, but now you have to go Sylhet airport for 3am stop at Dhaka, wait there 4 or 5 hours than fly UK. When booking flights make sure you get Boeing 777-300. Only plus side 40 kg luggage",,Boeing 777-200,Couple Leisure,Economy Class,London to Syhlet,September 2015,1.0,2.0,1.0,1.0,yes,3.0,1.0,1.0
"""would consider flying again""","1 reviews



Habib Choudhury",United Kingdom,13th November 2015,"The planes used by Biman Bangladesh from London to Sylhet and return via Dhaka were clean and cabin in good condition. I believe the planes used for the journey were Boeing 777-300ER. The  the Inflight Entertainment has a 12"" screen, with Hollywood and Bollywood Movies, games, flight maps and other information. The seats in economy were comfortable and included foot rests and neck support, and the inflight magazine was also good. Food The food served was not to the standard of Emirates or other similar airlines, but still to a good standard. The food consisted of two main meals, cold drink and hot drink. Cabin crew were attentive and smiling and spoke fluent English. They cleared trays promptly and responded to requests promptly. They even brought my group of travellers masala (desi) tea's upon request. There is improvement needed in the way that they serve food. During the main meal serving times, there are 3 option ie Chicken, Lamb and Fish, however this is not advertised anywhere and nor is there a menu card offered, which is offered by other airlines. The only reason I found out was because I enquired about the options, otherwise cabin crew simply serve the dish they hold in their trolley!  Also the juices served are not good quality and full of sugar. I would consider flying again with Biman, provided they are able to keep up the quality.",,Boeing 777-300ER,Family Leisure,Economy Class,Dhaka to London,November 2015,5.0,4.0,4.0,5.0,yes,4.0,4.0,
"""provided good service""",Shafkat Turjo,Bangladesh,30th October 2015,"I flew with Biman last month from Kuala Lumpur to Dhaka.  Food was good and warm. Juices, Cokes and Water were given frequently. IFE was also pretty good filled with Bangladeshi, Indian and Hollywood movies. Hostesses were smiling and provided good service. Seat was comfortable. Overall the whole thing was good up there.",,Boeing 777-200ER,Solo Leisure,Economy Class,Kuala Lumpur to Dhaka,September 2015,4.0,5.0,4.0,4.0,yes,4.0,4.0,
"""there are still negatives with Biman""",Azmol Hussain,United Kingdom,9th September 2015,"First flight with Biman Bangladesh Airlines after almost ten years of not flying with them due to terrible planes and flight scehdules. Check in at Heathrow was chaotic as there were many travellers with families and overweight luggage. Biman don't have their own lounge but use Gulf Air at Heathrow. worth paying 30 pound surcharge for some peace and relaxing. New plane had good seats and clean interior. Inflight entertainment is okay, not a great selection of movies of videos but sufficient. Meals were adequate though nothing special and certainly not on par with the Emirates or Qatar Airways. Biman seems to have made some improvements from what it was, but there are still negatives. Cabin crew really need to smile more and be friendly, they seem disengaged as if they don't like their jobs. Selection of soft drinks is very poor - asked for coke and not available, asked for pineapple juice again not available. They do not offer drinks during flights or pre take off. They don't provide hot towels and you have to ask for blankets.",,B777 -300ER,Family Leisure,Economy Class,London to Sylhet,April 2015,4.0,2.0,3.0,3.0,yes,3.0,3.0,
Biman Bangladesh Airlines customer review,Gareth Hale,United Kingdom,28th August 2015,"Comfortable flight, good selection of entertainment in both English and Bengali, decent leg room, definitely worth paying the 5 USD to get a free seat next to you on a flight that long. Came in just over 13 hours in the air, and was comfortable throughout the entire flight. Food was rather nice too, something I did not expect.",,Boeing 777-300ER,Solo Leisure,Economy Class,Sylhet to London Heathrow via Dhaka,May 2015,4.0,4.0,4.0,4.0,yes,5.0,4.0,
Biman Bangladesh Airlines customer review,Joanna Wittekoek,Netherlands,26th August 2015,"I booked the Biman Bangladesh Airlines ticket online which was easy and the site worked fine. Check in was disappointing becasue they forgot me to charge an extra tax of 500 taka and then I needed to take my luggage and had go to a counter to pay.  Reached Yangon on time. No entertainment, but for a 2 hour flight I can entertain myself. Although it was Ramadan, we got water and a snack. Actually surprised, because of the negative image of Biman Bangladesh Airlines .",,,Business,Economy Class,Dhaka to Yangon,June 2015,3.0,3.0,3.0,3.0,yes,4.0,,
Biman Bangladesh Airlines customer review,Khan Salam,Bangladesh,14th August 2015,"Biman Bangladesh Airlines do not have a dedicated Business Class counter. The flight was on schedule, seat was quite comfy and a lot of leg room.  There were three meal choices options, mine turned out to be quiet nice. The inflight magazine had some interesting articles and duty-free selection not bad either. The food and beverage selection  was great considering the flight length.",,Boeing 737-800,Business,Business Class,Kathmandu to Dhaka,July 2015,4.0,4.0,4.0,5.0,yes,4.0,,
